approved,hgnc_symbol,drugs_gained,moas_gained,confidence,sample_tokens,sample_drugs,sample_moas,top_broad_cancers,notes
,CTLA4,99,25,1.0,cab ctla-4 monoclonal; conditionally active ctla-4; ctla-4; ctla4,abatacept; absk043; adebelimab; adebelizumab; adebellizumab,anothertarget_ctla4_inhibitor; cabctla4monoclonal_antibody; cd137_ctla4_agonist; cd25_ctla4_antagonist; cd28_ctla4_modulator,Lung Cancers; Liver and Bile Duct Cancers; Gynecological Cancers; Breast Cancer; Bladder Cancer,
,MTOR,95,12,1.0,mtor; mtor (torc1,acalabrutinib; afuresertib; akt-1/2 inhibitor bay1125976; al58805; apitolisib,2_mtortorc1_inhibitor; akt_importin_mtor_tubulin_inhibitor; akt_inhibitor; akt_mtor_pi3k_inhibitor; atr_inhibitor,Hematological Malignancies; Gynecological Cancers; Breast Cancer; Brain and Other Nervous System; Skin Cancers,
,TNFRSF9,87,32,0.97,4-1bb; 4-1bb bispecific; 4-1bb monoclonal; 4-1bb tetra-specific; cd137,89zr-lncab190; a319; abl103; absk043; acasunlimab,41bb_5t4_antibody; 41bb_agonist; 41bb_cd228_targeted; 41bb_cd28_cd3_targeted; 41bb_ceacam5_activator,Lung Cancers; Liver and Bile Duct Cancers; Breast Cancer; Gynecological Cancers; Bladder Cancer,
,IL2,70,22,1.0,binds to il-2; il-2,18f-nota-aby-030; [89zr]panitumumab tracer; abt-414; ace2016; alt-801,bindstoil2_targeted; cd122_il2_modulator; ctla4_il2_inhibitor; dnafusion_il2_tcell_activator; egfr_targeted,Hematological Malignancies; Lung Cancers; Gynecological Cancers; Skin Cancers; Solid tumors,
,EGF,62,3,1.0,egf; epidermal growth factor,abt-806; ac480; afatinib; almonertinib; aumolertinib,egf_inhibitor; egfr_inhibitor; epidermalgrowthfactor_antagonist,Lung Cancers; Skin Cancers; Head and Neck Cancers; Brain and Other Nervous System; Pancreatic Cancer,
,MSLN,50,12,1.0,kills mesothelin-expressing tumor cells; kills msln-expressing tumor cells; mesothelin; mesothelin-targeted pseudomonas exotoxin; msln,a2b694; absk043; adebelimab; adebelizumab; adebellizumab,cd274_activator; cd3_mesothelin_activator; cdh3_msln_targeted; ctla4_msln_targeted; killsmesothelinexpressingtumorcells_targeted,Lung Cancers; Liver and Bile Duct Cancers; Gynecological Cancers; Breast Cancer; Bladder Cancer,
,FAP,47,19,1.0,delivers pb-212 to fap-α; fap; fap-targeted 4-1bb; fap-targeted cd40; fap-targeting adc; microtubule,177lu-ctr-fapi; 177lu-eb-fapi; 177lu-jh04; 177lu-lnc1004; 177lu-nrt6020,biotin_fap_targeted; cd137_fap_agonist; cd40_fap_activator; cd40_fap_targeted; deliverspb212tofap_targeted,Pancreatic Cancer; Gynecological Cancers; Colorectal Cancer; Solid tumors; Gastric (Stomach) Cancer,
,IL15,45,17,1.0,il-15; il-15 monoclonal,177lu-rad204; 68ga-nota-sna002; alt-801; amg 172; ap505,cd274_targeted; cd276_il15_modulator; ctla4_il15_activator; gd2_il15_targeted; il15_activator,Lung Cancers; Skin Cancers; Breast Cancer; Bladder Cancer; Gynecological Cancers,
,CLDN18,39,19,1.0,claudin 18.2; cldn18.2; cldn18.2 bispecific; cldn18.2 isac; cldn18.2 monoclonal,[68ga]ga-nodaga-sna014; ab011; ak132; askb589; atg-022,41bbbispecific_cldn182_antibody; cd3_cldn182bispecific_antibody; cd47bispecific_claudin182_antibody; cd47bispecific_cldn182_antibody; cd8_cldn182_inhibitor,Gastric (Stomach) Cancer; Pancreatic Cancer; Solid tumors; Esophageal Cancer; Liver and Bile Duct Cancers,
,IGF1R,35,7,1.0,igf-1r; igf-1r monoclonal,amg479; arry-380; ave1642; biib022; bms-754807,erbb3signaling_igf1r_blocker; her2_inhibitor; igf1r_antagonist; igf1r_antibody; igf1r_inhibitor,Breast Cancer; Soft Tissue Cancers (including Heart); Lung Cancers; Brain and Other Nervous System; Esophageal Cancer,
,KDR,33,15,1.0,vegfr-2; vegfr2; vegfr2 activation; vegfr2 phosphorylation,amb-05x; amg 820; amg820; apatinib; arry-382,axl_flt3_mertk_met_vegfr2_inhibitor; axl_flt3_vegfr2_inhibitor; ckit_pdgfr_vegfr2_vegfr3_inhibitor; cmet_vegfr2_inhibitor; csf1r_fgfr_vegfr2_inhibitor,Liver and Bile Duct Cancers; Breast Cancer; Hematological Malignancies; Gastric (Stomach) Cancer; Soft Tissue Cancers (including Heart),
,TACSTD2,33,13,0.9,trop-2; trop2,[68ga]ga-nota-t4; ak146d1; asp2998; avzo-103; bhv-1510,cd274_antibody; egfr_antibody; her3_trop2_targeted; her3bispecificadc_topo1_trop2_inhibitor; nectin4_trop2_antibody,Lung Cancers; Breast Cancer; Solid tumors; Gynecological Cancers; Bladder Cancer,
,HLA-G,33,5,1.0,hla-g,absk043; adebelimab; adebelizumab; adebellizumab; adebrelimab,hlag_antagonist; hlag_lilrb1_inhibitor; hlag_pdl1_targeted; hlag_targeted; pdl1_inhibitor,Lung Cancers; Liver and Bile Duct Cancers; Gynecological Cancers; Breast Cancer; Bladder Cancer,
,CEACAM5,32,22,0.93,cea; cea expressing tumor cells; cea for fluorescence-guided surgery; cea for pet imaging; cea glycoprotein,64cu-dota-m5a; a2b530; actinium ac 225-dota-anti-cea monoclonal antibody m5a; ad5 cea vaccine; adenovirus 5 cea,41bb_ceacam5_activator; cd3_cea_antibody; cd3_cea_targeted; cea_activator; cea_binder,Colorectal Cancer; Lung Cancers; Pancreatic Cancer; Solid tumors; Breast Cancer,
,LAG3,31,12,1.0,lag-3; lag-3 bispecific; lag-3 blocking; lag-3 blocking monoclonal; lag-3 immune checkpoint,89zr-dfo-regn3767; ak137; amg 172; apl-501; askg915,cd73_lag3bispecific_antibody; ctla4_lag3bispecific_antibody; lag3_antagonist; lag3_inhibitor; lag3_pd1_inhibitor,Skin Cancers; Bladder Cancer; Lung Cancers; Brain and Other Nervous System; Hematological Malignancies,
,PIK3CB,29,2,0.9,pi3k p110β; pi3kβ,acp-319; alpelisib; azd3470; azd5863; azd8835,isoform_pi3kp110_inhibitor; pi3k_inhibitor,Hematological Malignancies; Breast Cancer; Gynecological Cancers; Brain and Other Nervous System; Colorectal Cancer,
,PARP1,28,12,1.0,binds to parp1; cns-penetrant parp1; parp 1; parp-1; parp1,18f-ftx; 2x-121; ace-86225106; amxi-5001; azd2461,2_parp1_inhibitor; 2_parp1_parp2_tankyrase1_inhibitor; bindstoparp1_targeted; cnspenetrantparp1_inhibitor; dna_parp1_inhibitor,Breast Cancer; Gynecological Cancers; Solid tumors; Pancreatic Cancer; Lung Cancers,
,TNFRSF5,27,12,1.0,cd40; cd40 agonist monoclonal; cd40 agonistic monoclonal; cd40 antagonist monoclonal; cd40 bispecific,2141-v11; abbv-428; adc-1013; cdx-1140; cp-870,41bbbispecific_cd40_antibody; cd40_agonist; cd40_cd47_agonist; cd40_fap_activator; cd40_fap_targeted,Gynecological Cancers; Hematological Malignancies; Skin Cancers; Head and Neck Cancers; Pancreatic Cancer,
,GNRH1,27,3,1.0,gnrh; gonadotropin-releasing hormone,"abarelix; cetrorelix; dalpiciclib, exemestane, gosserine; debio 4228; degarelix",gnrh_agonist; gnrh_antagonist; gonadotropinreleasinghormone_agonist,Prostate Cancer; Breast Cancer; Gynecological Cancers; Head and Neck Cancers; Hematological Malignancies,
,TYMS,25,7,1.0,noncompetitive thymidylate synthase; thymidylate synthase,arfolitixorin; capecitabine + oxaliplatin; carboplatin; 5-fluorouracil; dfp-11207; e7337,dna_rnasynthesis_thymidylatesynthase_inhibitor; dna_thymidylatesynthase_inhibitor; dnasynthesis_rnasynthesis_thymidylatesynthase_inhibitor; enhances_5_fu_binding_to_thymidylate_synthase; noncompetitivethymidylatesynthase_inhibitor,Colorectal Cancer; Gastric (Stomach) Cancer; Liver and Bile Duct Cancers; Pancreatic Cancer; Esophageal Cancer,
,ROR1,24,5,1.0,ror1,alpaloritovorelli antibodies; b013; cs5001; hdm2005; lbl-015,microtubule_ror1_targeted; pd1_blocker; ror1_antagonist; ror1_antibody; ror1_targeted,Hematological Malignancies; Gynecological Cancers; Breast Cancer; Colorectal Cancer; Lung Cancers,
,IL3RA,23,15,1.0,cd123; cd123 bispecific; cd123 expressing leukemic cells; cd123 monoclonal; cd123 on cells,allo-revcar01-t; allogeneic cd123car-cd28-cd3zeta-egfrt-expressing t lymphocytes; apvo436; autologous anti-cd123 car t cells; autologous cd123car-cd28-cd3zeta-egfrt-expressing t lymphocytes,cd123_antibody; cd123_cd16_targeted; cd123_cd33bispecific_inhibitor; cd123_cd3_activator; cd123_cd3_targeted,Hematological Malignancies; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,BMX,23,1,1.0,bmx,acalabrutinib; cc-292; docirbrutinib; dtrm-505; dtrmwxhs-12,btk_inhibitor,Hematological Malignancies; Brain and Other Nervous System; Specific Syndromes; Bladder Cancer; Head and Neck Cancers,
,GPRC5D,22,11,1.0,gprc5d,anti-bcma-gprc5d; arlocabtagene autoleucel; azd0305; bcma-gprc5d car-t cells; bms-986453,bcma_cd3_gprc5d_activator; bcma_cd3_gprc5d_antibody; bcma_cd3trispecific_gprc5d_antibody; bcma_gprc5d_targeted; cd38_gprc5d_inhibitor,Hematological Malignancies,
,IRAK4,22,5,1.0,irak4,ac220; azd2962; bh-30236; bmf-500; ca-4948,flt3_inhibitor; flt3_irak4_inhibitor; imidsubstrates_irak4_degrader; irak1_irak4_inhibitor; irak4_inhibitor,Hematological Malignancies; Brain and Other Nervous System; Gastrointestinal Stromal Tumors; Lung Cancers; Colorectal Cancer,
,IL13RA2,22,2,1.0,il-13rα2 antagonists; lyses il13ra2-expressing tumor cells,"arry-380; cp-724; docetaxel, cyclophosphamide, trastuzumab; elvn-002; gemcitabine - trastuzumab - erlotinib",her2_inhibitor; lysesil13ra2expressingtumorcells_targeted,Breast Cancer; Lung Cancers; Gastric (Stomach) Cancer; Colorectal Cancer; Esophageal Cancer,
,SSTR2,21,11,1.0,sst2; sstr2; sstr2 somatostatin,161tb-dota-lm3; 177lu-dota-jr11; 177lu-lnc1010; 177lu-tate-rgd; 61cu-nodaga-lm3,cd3_sstr2_targeted; integrinv3_sstr2_modulator; integrinv3_sstr2_targeted; sst2_agonist; sst2_targeted,Adrenal Cancer and Neuroendocrine Tumors; Pancreatic Cancer; Brain and Other Nervous System; Lung Cancers; Soft Tissue Cancers (including Heart),
,SOS1,21,2,1.0,sos1,advtmm2; alta3263; atp162; aube00; bay3498264,kras_inhibitor; sos1_inhibitor,Solid tumors; Pancreatic Cancer; Colorectal Cancer; Lung Cancers; Breast Cancer,
,AKT2,21,1,1.0,akt2,afuresertib; akt-1/2 inhibitor bay1125976; ar-42; azd5363; ca102n,akt_inhibitor,Hematological Malignancies; Gynecological Cancers; Breast Cancer; Head and Neck Cancers; Skin Cancers,
,IGFBP2,21,1,1.0,igfbp2 antagonists,"arry-380; cp-724; docetaxel, cyclophosphamide, trastuzumab; elvn-002; gemcitabine - trastuzumab - erlotinib",her2_inhibitor,Breast Cancer; Lung Cancers; Gastric (Stomach) Cancer; Colorectal Cancer; Esophageal Cancer,
,GPC3,20,11,1.0,gpc3; kills gpc3-positive tumor cells; lyses gpc3-expressing tumor cells,ast-201; bc2027; c-car031; cg-102-12c; ct011,cd3tcellredirectingbispecific_gpc3_antibody; ctl_mediated_elimination_of_gpc3_positive_tumor_cells; gpc3_inhibitor; gpc3_interferon_targeted; gpc3_modulator,Liver and Bile Duct Cancers; Solid tumors; Lung Cancers; Hematological Malignancies; Gynecological Cancers,
,TNFRSF8,20,10,1.0,cd30; cd30 monoclonal; cd30-directed,afm13; atlcar.cd30 t cells; atlcar.cd30.ccr4; autologous car.cd30 ebv specific-ctls; autologous cd30 car-t cells,ccr4_targeted; cd16abispecific_cd30_antibody; cd30_antibody; cd30_cells_targeted; cd30_inhibitor,Hematological Malignancies; Skin Cancers; Pediatric Cancers,
,MERTK,20,5,1.0,mer; mertk,ac220; adrixetinib; bh-30236; bmf-500; crenolanib,axl_csf1r_mer_inhibitor; axl_flt3_mertk_met_vegfr2_inhibitor; axl_mer_inhibitor; axl_mertk_inhibitor; flt3_inhibitor,Hematological Malignancies; Brain and Other Nervous System; Gastrointestinal Stromal Tumors; Lung Cancers; Bone and Joint Cancers,
,AXL,18,12,1.0,axl; axl expression; axl signaling; oral axl,adrixetinib; axl; axl.hyposti.car-t cells; ba3011; batiraxcept,axl_antibody; axl_cd73_targeted; axl_csf1r_mer_inhibitor; axl_flt3_mertk_met_vegfr2_inhibitor; axl_flt3_vegfr2_inhibitor,Lung Cancers; Hematological Malignancies; Solid tumors; Breast Cancer; Brain and Other Nervous System,
,TIGIT,18,10,1.0,tigit; tigit (t cell ig,ab308; agen1777; ak127; ak130; asp8374,cd112r_tigit_modulator; cd96bispecific_tigit_antibody; itimdomains_tigittcellig_inhibitor; pdl1_tigit_inhibitor; pvrigbispecific_tigit_antibody,Lung Cancers; Esophageal Cancer; Skin Cancers; Liver and Bile Duct Cancers; Bladder Cancer,
,PTK2,18,7,1.0,fak,apg-2449; avutometinib and defactinib; brigatinib; cep-37440; ct-707,alk_fak_inhibitor; alk_fak_pyk2_inhibitor; alk_ros1_inhibitor; fak_inhibitor; fak_mek_rafclamp_inhibitor,Lung Cancers; Gynecological Cancers; Brain and Other Nervous System; Pancreatic Cancer; Bladder Cancer,
,TLR7,18,6,1.0,tlr7,1v270; bdb001; bdb018; bdc-4182; bm201,cd274_agonist; cldn182isac_tlr7_tlr8_agonist; erbb2_agonist; rigisignaling_tlr7_tlr8_agonist; tlr7_agonist,Skin Cancers; Gynecological Cancers; Brain and Other Nervous System; Breast Cancer; Lung Cancers,
,SIRPA,17,10,1.0,sirpalpha; sirpα; sirpα axis; sirpα interaction,[89zr]zr- bi 765063; ba1301; bi 770371; bsi-082; hcb301,cd47_pd1_pdl1_sirp_tgf_inhibitor; cd47_sirpaxis_inhibitor; cd47_sirpinteraction_blocker; cd47_sirpinteraction_disruptor; cd47_sirpinteraction_inhibitor,Hematological Malignancies; Solid tumors; Solid Tumors; Head and Neck Cancers; Liver and Bile Duct Cancers,
,MUC1,17,9,1.0,binds to muc1; muc1,autologous muc1-activated t-cells; cvac; ds-3939a; eb-dnk101; etbx-061,bindstomuc1_targeted; cea_muc1_targeted; egfr_and_muc1_bispecific_adc; msln_muc1_targeted; muc1_activator,Lung Cancers; Solid tumors; Breast Cancer; Colorectal Cancer; Hematological Malignancies,
,CDK2,17,8,1.0,cdk2,at7519; avzo-021; bg-68501; bg-75098; dinaciclib,cdk1_cdk2_cdk4_cdk5_cdk6_cdk9_inhibitor; cdk1_cdk2_cdk5_cdk9_inhibitor; cdk2_cdk4_cdk6_inhibitor; cdk2_cdk4_degrader; cdk2_cdk7_cdk9_inhibitor,Breast Cancer; Gynecological Cancers; Hematological Malignancies; Solid tumors; Skin Cancers,
,PTGS2,17,5,1.0,cox-2; cox-2 cyclooxygenase; cox-2 enzymes,celecoxib; diflunisal; etoricoxib; flurbiprofen; ibuprofen,cox1_cox2_inhibitor; cox1_cox2enzymes_inhibitor; cox2_inhibitor; cox2_nmdaantagonistcox1_inhibitor; cox2cyclooxygenase_inhibitor,Breast Cancer; Colorectal Cancer; Hematological Malignancies; Brain and Other Nervous System; Lung Cancers,
,PIM3,17,2,1.0,pim-3; pim3,ac220; bh-30236; bmf-500; crenolanib; eth-155008,cdk4_cdk6_flt3_pim3_inhibitor; flt3_inhibitor,Hematological Malignancies; Brain and Other Nervous System; Gastrointestinal Stromal Tumors; Lung Cancers; Bone and Joint Cancers,
,CA9,16,9,1.0,ca9 targeting igg1; caix; caix-targeted antibody-drug conjugate; carbonic anhydrase ix; to carbonic anhydrase ix,111-in-dota-cg250; 111in-xyimsr-01; 111indium-cg250; 124icg250; 177-lu-dota-cg250,ca9targetingigg1_antibody; caix_caxii_protein_specific_pet_probe; caix_inhibitor; caix_targeted; caixtargetedantibodydrugconjugate_tubulin_inhibitor,Bladder Cancer; Kidney (Renal) and Urethral Cancers; Lung Cancers; Head and Neck Cancers; Breast Cancer,
,PVRL4,16,7,1.0,nectin-4,68ga-nota-nectin-4; 9mw2821; [225ac]ac-aky-1189; [68ga]n188; bat8007,cd137tumortargetedimmunecell_nectin4_agonist; dna_nectin4_targeted; nectin4_antibody; nectin4_inhibitor; nectin4_modulator,Bladder Cancer; Breast Cancer; Lung Cancers; Solid tumors; Gynecological Cancers,
,TMEM173,16,6,1.0,sting,[68ga]ga-sa-dabi-4; crd3874; dazostinag; decoy20; enterococcus lactis mnc-168,dendriticcells_sting_activator; erbb2_agonist; multitargetedtlr_nod_sting_agonist; sting_activator; sting_agonist,Solid tumors; Breast Cancer; Hematological Malignancies; Head and Neck Cancers; Colorectal Cancer,
,CTAG1B,16,5,1.0,ny-eso-1,cdx-1401; hbi 0201-eso tcrt; letetresgene autoleucel; ny-eso-1 iscomatrix vaccine; ny-eso-1 protein with iscomatrix adjuvant,lage1a_nyeso1_targeted; nyeso1_activator; nyeso1_inhibitor; nyeso1_targeted; nyeso1_tyr_modulator,Gynecological Cancers; Skin Cancers; Hematological Malignancies; Esophageal Cancer; Breast Cancer,
,CLK1,16,1,1.0,clk 1,ac220; bh-30236; bmf-500; crenolanib; ff-10101-01,flt3_inhibitor,Hematological Malignancies; Brain and Other Nervous System; Gastrointestinal Stromal Tumors; Lung Cancers; Bone and Joint Cancers,
,CDK9,15,7,1.0,cdk9,alvocidib; at7519; azd4573; btx-a51; dinaciclib,cdk1_cdk2_cdk4_cdk5_cdk6_cdk9_inhibitor; cdk1_cdk2_cdk5_cdk9_inhibitor; cdk1_cdk4_cdk9_inhibitor; cdk2_cdk7_cdk9_inhibitor; cdk2_cdk9_inhibitor,Hematological Malignancies; Solid tumors; Gynecological Cancers; Pancreatic Cancer; Skin Cancers,
,ERBB4,15,3,1.0,erbb4; her4,arry-334543; bibw 2992; cisplatin-5fu-afatinib; cudc-101; enozertinib,aromatase_cdk4_cdk6_her1_her2_her4_inhibitor; egfr_her2_her4_inhibitor; egfr_her2_inhibitor,Breast Cancer; Head and Neck Cancers; Skin Cancers; Brain and Other Nervous System; Lung Cancers,
,TLR9,15,3,1.0,tlr-9; tlr9; toll-like 9,agatolimod; agatolimod sodium; cmp 001; cpg 7909; cpg-odn,heparanase_tlr9_inhibitor; tlr9_agonist; tolllike9_agonist,Hematological Malignancies; Skin Cancers; Breast Cancer; Lung Cancers; Brain and Other Nervous System,
,TLR8,14,4,1.0,tlr8,bdb001; bdb018; bdc-4182; bm201; cd11301,cldn182isac_tlr7_tlr8_agonist; rigisignaling_tlr7_tlr8_agonist; tlr7_tlr8_agonist; tlr8_agonist,Skin Cancers; Solid tumors; Bladder Cancer; Lung Cancers; Brain and Other Nervous System,
,DDR1,14,2,1.0,ddr1,amb-05x; amg 820; amg820; arry-382; aur109,csf1r_inhibitor; ddr1_fgfrs_sik2_vegfrs_inhibitor,Hematological Malignancies; Soft Tissue Cancers (including Heart); Brain and Other Nervous System; Colorectal Cancer; Pancreatic Cancer,
,FMS,14,2,1.0,fms,amb-05x; amg 820; amg820; arry-382; c019199,csf1r_inhibitor; fms_met_pdgfr_vegfr_inhibitor,Hematological Malignancies; Soft Tissue Cancers (including Heart); Brain and Other Nervous System; Colorectal Cancer; Pancreatic Cancer,
,ADORA2A,13,5,1.0,a2a; a2ar; adenosine a2a,azd4635; ckd-512; cpi-444; cs3005; eos100850,a2a_a2b_antagonist; a2a_antagonist; a2ar_a2br_antagonist; a2ar_antagonist; adenosinea2a_antagonist,Lung Cancers; Prostate Cancer; Gynecological Cancers; Soft Tissue Cancers (including Heart); Colorectal Cancer,
,PRMT5,13,5,1.0,prmt5; prmt5 arginine methyltransferase; prmt5 methyltransferase; prmt5 mta-cooperative,aur105; bay 3713372; bgb-58067; cts3497; dc50292a,mat2a_prmt5_inhibitor; prmt5_inhibitor; prmt5argininemethyltransferase_inhibitor; prmt5methyltransferase_inhibitor; prmt5mtacooperative_inhibitor,Hematological Malignancies; Solid tumors; Brain and Other Nervous System; Lung Cancers; Pancreatic Cancer,
,EPHB4,13,2,1.0,ephb4,arry-334543; bibw 2992; cudc-101; enozertinib; hemay022,egfr_her2_inhibitor; ephb4_pdgfr_vegfr2_inhibitor,Breast Cancer; Head and Neck Cancers; Skin Cancers; Brain and Other Nervous System; Lung Cancers,
,VEGFA,12,9,1.0,vegf-a; vegf-a angiogenesis; vegf-a bispecific; vegf-a signaling; vegfa,angiocal; bnt327; ctx-009; ctx-10726; folfiri-bevacizumab,ang2_vegfa_inhibitor; chemotherapy_vegfa_inhibitor; dll4_vegfasignaling_inhibitor; pd1_vegfabispecific_antibody; pdl1_vegfabispecific_antibody,Lung Cancers; Breast Cancer; Colorectal Cancer; Liver and Bile Duct Cancers; Head and Neck Cancers,
,CCR8,12,8,1.0,ccr8; ccr8-positive treg,anti-ccr8 monoclonal antibody amg 355; azirkitug; bms-986340; chs-114; cm369,ccr8_antagonist; ccr8_degrader; ccr8_inhibitor; ccr8_modulator; ccr8_regulatorytcells_degrader,Solid tumors; Pancreatic Cancer; Gynecological Cancers; Head and Neck Cancers; Colorectal Cancer,
,NT5E,12,7,1.0,5'-nucleotidase; cd73,ak137; ap601; atg-037; axl.hyposti.car-t cells; bb-1709,5nucleotidase_cd73_inhibitor; axl_cd73_targeted; cd137bispecific_cd73_antibody; cd73_il2ra_inhibitor; cd73_inhibitor,Pancreatic Cancer; Prostate Cancer; Solid tumors; Liver and Bile Duct Cancers; Lung Cancers,
,GRPR,12,3,1.0,grpr,212pb-dotam; 68ga-bbn-irdye800cw; 68ga-dota-bombesin; 68ga-g23; 68ga-rm26,grpr_antagonist; grpr_modulator; grpr_targeted,Prostate Cancer; Breast Cancer; Brain and Other Nervous System; Colorectal Cancer; Lung Cancers,
,SRC,11,10,1.0,src,bosutinib; cct3833; dasatinib; dositinib; elzovantinib,abl_src_inhibitor; aurora_pdgfr_src_vegf_inhibitor; bcrabl_src_inhibitor; csf1r_met_src_inhibitor; fak_src_inhibitor,Hematological Malignancies; Skin Cancers; Gynecological Cancers; Head and Neck Cancers; Breast Cancer,
,CDH17,11,7,1.0,cdh17; cdh17-targeting adc; cdh17-targeting adc with topoisomerase,7mw4911; amt-676; cabotamig; chm-2101 car-t cells; cm518d1,cd3_cdh17_targeted; cdh17_antagonist; cdh17_antibody; cdh17_targeted; cdh17targetingadc_dnatopoisomerase1_inhibitor,Colorectal Cancer; Solid tumors; Gastric (Stomach) Cancer; Gastrointestinal Stromal Tumors; Liver and Bile Duct Cancers,
